StudyID,Abbr,TRT,NLDLC,PercRLDLC,SDLDLC,NHDLC,PercRHDLC,SDHDLC,NTG,PercRTG,SDTG,BaselineLDLC,BaselineHDLC,BaselineTG,age,Male,BMI,Medium,High,duration,Year
1,PBO,0,92.00,2.70,13.30,92.00,2.20,9.90,92.00,-2.20,33.00,174.00,50.00,162.00,56.62,0.41,28.11,0.00,0.00,12.00,2004
1,E,6,89.00,-19.80,10.50,90.00,7.00,12.60,90.00,-13.20,27.80,176.00,51.00,163.00,56.90,0.38,28.51,0.00,0.00,12.00,2004
1,S,1,345.00,-38.50,14.20,345.00,7.60,11.90,345.00,-15.20,34.10,175.00,49.00,167.00,55.10,0.49,28.20,0.52,0.25,12.00,2004
1,SE,7,353.00,-53.20,17.20,353.00,8.20,13.10,353.00,-28.00,28.00,175.00,51.00,169.00,56.80,0.48,28.10,0.00,1.00,12.00,2004
2,PBO,0,65.00,-0.60,12.09,65.00,2.00,12.09,65.00,2.00,30.64,177.88,50.20,159.42,53.40,0.48,28.29,0.00,0.00,12.00,2003
2,E,6,64.00,-19.60,12.00,64.00,4.10,12.00,64.00,-2.10,30.40,181.75,50.20,177.14,52.00,0.36,29.93,0.00,0.00,12.00,2003
2,P,5,205.00,-25.20,12.89,205.00,6.70,11.45,205.00,-7.60,30.07,177.60,50.20,177.00,55.10,0.49,29.60,0.34,0.00,12.00,2003
2,PE,10,204.00,-38.60,12.85,204.00,8.10,11.43,204.00,-17.60,29.99,177.60,50.20,177.00,56.90,0.41,29.40,1.00,0.00,12.00,2003
3,PBO,0,69.00,-1.50,14.95,69.00,0.90,12.46,69.00,2.40,23.26,179.10,52.30,170.90,58.80,0.44,28.50,0.00,0.00,12.00,2002
3,E,6,60.00,-18.10,14.72,60.00,5.10,12.39,60.00,-8.30,23.24,183.30,51.00,190.30,60.30,0.39,28.27,0.00,0.00,12.00,2002
3,S,1,263.00,-36.50,14.60,263.00,6.90,12.97,263.00,-16.60,22.70,180.10,51.00,168.70,56.40,0.42,28.70,0.48,0.25,12.00,2002
3,SE,7,274.00,-51.30,14.90,274.00,9.30,13.24,274.00,-24.10,23.17,177.60,50.40,178.80,57.60,0.46,28.60,0.00,1.00,12.00,2002
4,S,1,246.00,-38.00,12.55,248.00,5.10,11.02,248.00,-19.00,29.92,173.80,46.10,169.50,62.10,0.62,30.50,1.00,0.00,5.00,2004
4,SE,7,446.00,-51.04,13.40,451.00,6.89,10.81,451.00,-22.82,25.49,166.77,45.15,177.56,62.03,0.64,31.26,0.00,1.00,5.00,2004
5,A,2,246.00,-37.20,12.55,246.00,5.10,12.55,246.00,-22.50,28.23,180.60,46.90,171.50,60.80,0.50,29.40,1.00,0.00,6.00,2004
5,SE,7,502.00,-48.21,12.84,502.00,8.75,12.68,502.00,-25.45,28.08,179.60,46.70,175.25,59.65,0.53,29.40,0.00,1.00,6.00,2004
6,PBO,0,146.00,-2.20,14.50,146.00,-0.30,13.29,146.00,-1.90,31.42,177.90,52.90,142.80,56.00,0.44,28.00,0.00,0.00,12.00,2004
6,E,6,148.00,-18.90,14.60,148.00,5.00,13.38,148.00,-10.70,31.63,179.90,52.40,145.50,55.50,0.46,28.40,0.00,0.00,12.00,2004
6,S,1,612.00,-39.00,14.84,612.00,6.80,12.37,612.00,-20.80,29.69,177.50,51.00,155.30,54.90,0.49,28.30,0.49,0.26,12.00,2004
6,SE,7,604.00,-53.00,14.75,604.00,7.20,12.29,604.00,-24.30,27.03,176.20,51.80,153.30,56.40,0.49,27.90,0.00,1.00,12.00,2004
7,A,2,927.00,-45.30,15.22,927.00,4.30,12.18,927.00,-25.50,29.51,178.90,48.80,167.00,58.50,0.52,30.10,0.50,0.50,6.00,2005
7,SE,7,923.00,-53.40,15.19,923.00,7.90,12.15,923.00,-27.40,29.45,177.70,49.10,171.00,59.00,0.52,29.80,0.00,1.00,6.00,2005
8,R,4,1428.00,-51.60,11.34,1428.00,7.60,11.34,1428.00,-24.60,25.06,173.00,50.00,159.00,55.60,0.42,29.70,0.00,1.00,6.00,2006
8,SE,7,1427.00,-55.80,11.33,1427.00,7.60,11.33,1427.00,-26.20,24.09,172.00,50.30,157.00,55.67,0.46,29.57,0.00,1.00,6.00,2006
9,A,2,718.00,-44.64,15.09,718.00,3.70,12.40,718.00,-25.75,25.17,145.90,46.24,180.45,59.70,0.49,33.60,0.67,0.33,6.00,2006
9,SE,7,480.00,-55.62,14.35,480.00,7.14,12.41,480.00,-27.72,26.78,144.85,45.96,174.31,59.30,0.45,33.60,0.00,1.00,6.00,2006
10,PBO,0,64.00,0.00,16.00,64.00,0.00,8.00,64.00,4.00,24.00,179.00,54.00,168.00,58.00,0.38,28.73,0.00,0.00,12.00,2003
10,E,6,72.00,-19.00,16.97,72.00,3.00,8.49,72.00,-3.00,25.46,179.00,51.00,170.00,55.00,0.43,28.84,0.00,0.00,12.00,2003
10,L,3,220.00,-25.00,14.83,220.00,4.00,14.83,220.00,-11.00,29.66,179.00,51.00,178.00,56.00,0.40,29.20,0.33,0.00,12.00,2003
10,LE,9,192.00,-40.00,13.86,192.00,9.00,13.86,192.00,-22.00,27.71,178.00,50.00,172.00,57.00,0.45,29.10,1.00,0.00,12.00,2003
11,PBO,0,60.00,4.30,15.18,60.00,3.70,11.54,60.00,-6.40,42.21,180.20,50.27,141.71,56.90,0.48,27.42,0.00,0.00,12.00,2003
11,E,6,65.00,-20.00,15.16,65.00,4.20,11.53,65.00,-5.10,25.46,176.72,50.66,141.71,56.70,0.45,28.64,0.00,0.00,12.00,2003
11,A,2,248.00,-44.20,15.28,248.00,4.30,11.65,248.00,-24.50,24.41,181.08,53.67,150.44,57.80,0.38,27.80,0.48,0.52,12.00,2003
11,AE,8,255.00,-56.30,15.17,255.00,7.30,11.66,255.00,-32.80,24.43,181.47,50.58,168.14,58.70,0.42,28.40,0.00,1.00,12.00,2003
12,A,2,647.00,-40.65,18.04,648.00,4.63,17.63,649.00,-26.41,29.25,140.33,43.00,185.69,58.67,0.55,32.33,0.67,0.33,6.00,2009
12,SE,7,436.00,-51.74,17.82,436.00,7.80,14.78,437.00,-26.38,30.78,135.51,43.50,175.97,60.00,0.58,32.00,0.00,1.00,6.00,2009
13,S,1,123.00,-28.30,16.08,123.00,2.06,11.53,123.00,-14.97,27.36,174.70,50.20,125.50,53.70,0.38,31.00,1.00,0.00,12.00,2006
13,SE,7,124.00,-45.55,16.15,124.00,1.42,11.47,124.00,-22.38,27.96,176.50,53.20,124.50,55.20,0.39,31.30,0.00,1.00,12.00,2006
14,A,2,719.00,-45.64,16.15,719.00,4.53,15.47,721.00,-24.70,27.80,166.66,53.34,151.66,71.97,0.34,28.30,0.67,0.33,12.00,2010
14,SE,7,468.00,-56.64,15.48,468.00,7.15,15.28,470.00,-25.15,22.09,164.51,53.50,136.48,72.00,0.42,28.20,0.00,1.00,12.00,2010
15,S,1,352.00,-42.80,12.71,357.00,8.06,15.45,352.00,-22.90,24.18,317.80,47.40,160.00,45.70,0.49,26.70,0.00,1.00,12.00,2008
15,SE,7,346.00,-58.80,11.61,355.00,10.37,17.52,346.00,-28.60,25.29,319.00,46.70,157.00,46.10,0.54,27.40,0.00,1.00,12.00,2008
16,R,4,375.00,-41.43,18.29,375.00,6.75,12.31,375.00,-18.47,26.10,190.69,52.05,140.13,55.20,0.36,32.40,0.00,1.00,6.00,2006
16,A,2,357.00,-35.14,17.67,357.00,4.65,13.38,357.00,-18.35,25.38,190.50,51.20,142.79,54.90,0.35,32.55,1.00,0.00,6.00,2006
17,PBO,0,132.00,0.00,13.79,132.00,4.00,11.49,132.00,-1.00,26.42,187.00,49.00,187.00,56.60,0.52,29.30,0.00,0.00,12.00,2002
17,R,4,257.00,-41.51,14.78,257.00,12.50,11.32,257.00,-18.00,27.17,186.49,51.00,187.51,57.55,0.43,28.45,0.50,0.50,12.00,2002
17,A,2,127.00,-35.00,14.65,127.00,8.00,11.27,127.00,-19.00,27.05,186.00,50.00,183.00,56.40,0.47,29.60,1.00,0.00,12.00,2002
18,R,4,267.00,-47.98,15.13,267.00,6.99,15.03,267.00,-16.98,28.90,186.96,55.04,151.20,57.04,0.56,26.45,0.51,0.49,12.00,2002
18,A,2,139.00,-39.00,14.15,139.00,6.00,14.15,139.00,-16.00,28.30,188.10,53.90,160.60,58.20,0.57,26.50,1.00,0.00,12.00,2002
19,R,4,207.00,-51.87,10.47,207.00,8.90,11.29,207.00,-21.88,28.37,191.38,51.81,175.60,56.99,0.49,28.49,0.18,0.82,6.00,2003
